Job_Name,Organization,Location,Skillset
Data Scientist - Product,Startup - DataXylo,Bengaluru,"['data mining', ' data analysis', ' data science', ' r', ' cluster analysis...', 'data mining', ' data analysis', ' data science', ' r', ' cluster analysis...']"
Senior Data Scientist - Text Mining,Molecular connections,Bengaluru,"['machine learning', ' natural language processing', ' text mining', ' r...', 'machine learning', ' natural language processing', ' text mining', ' r...']"
Senior Manager - Data Scientist - Banking Domain - Iit/nit/bits,HuQuo,"Bengaluru, Gurgaon","['hive', ' data science', ' machine learning', ' python', ' r', ' sql', ' data mining...', 'hive', ' data science', ' machine learning', ' python', ' r', ' sql', ' data mining...']"
Data Scientist,Startup - DataXylo,Bengaluru,"['arima', ' cluster analysis', ' logistic regression', ' data analysis', ' r', ' sql...', 'arima', ' cluster analysis', ' logistic regression', ' data analysis', ' r', ' sql...']"
Data Scientist,Flipkart Internet Private Limited,Bengaluru,"['deep learning', ' algorithms', ' data science', ' image processing', ' data scientist', 'deep learning', ' algorithms', ' data science', ' image processing', ' data scientist']"
Data Scientist - R/ Python/ SQL,Startup - DataXylo,Bengaluru,"['arima', ' cluster analysis', ' logistic regression', ' data analysis', ' r', ' sql...', 'arima', ' cluster analysis', ' logistic regression', ' data analysis', ' r', ' sql...']"
Principal Data Scientist,Flipkart Internet Private Limited,Bengaluru,"['data scientist', ' data science', ' ml', ' clustering', ' matrix factorization...', 'data scientist', ' data science', ' ml', ' clustering', ' matrix factorization...']"
Senior Data Scientist,Terra Blue Exploration Technologies Pvt. Ltd.,Bengaluru(Electronics City Phase 1),"['data science', ' model development', ' algorithms', ' model validation...', 'data science', ' model development', ' algorithms', ' model validation...']"
Urgent Opening for DATA Scientist -- Bangalore,Confidential,Bengaluru,"['hadoop', ' neural networks', ' r', ' spark', ' python', ' artificial intelligence', ' machine...', 'hadoop', ' neural networks', ' r', ' spark', ' python', ' artificial intelligence', ' machine...']"
Manager - Data Scientist,Fidelity Business Service India Private Limited,Bengaluru,"['data science', ' analytics', ' design', ' technical specifications...', 'data science', ' analytics', ' design', ' technical specifications...']"
Data Scientist - Python - BFS - Iit/dse/iim/nit,HuQuo,"Bengaluru, Gurgaon","['python', ' text mining', ' data structures', ' data scientist', ' data science...', 'python', ' text mining', ' data structures', ' data scientist', ' data science...']"
Senior Manager - Data Scientist,Fidelity Business Service India Private Limited,Bengaluru,"['data science', ' analytics', ' technical specifications', ' technical documentation', '...', 'data science', ' analytics', ' technical specifications', ' technical documentation', '...']"
Director/ Chief Data Scientist - NLP - KPO,Premium,"Bengaluru, Hyderabad","['information retrieval', ' neural networks', ' nlp', ' data mining', ' machine learning', '...', 'information retrieval', ' neural networks', ' nlp', ' data mining', ' machine learning', '...']"
Principal Data Scientist,Cynosure Corporate Solutions,Bengaluru,"['data scientist', ' machine learning', ' logistic regression', ' deep learning', 'data scientist', ' machine learning', ' logistic regression', ' deep learning']"
Data Scientist - Python/sql,Catalyst,Bengaluru,"['sql', ' algorithms', ' python', 'sql', ' algorithms', ' python']"
Data Scientist - A Big Data Analytics firm - Bangalore,HR CENTRAL,Bengaluru,"['machine learning', ' data scientist', ' algorithm', ' python', ' modeling', 'machine learning', ' data scientist', ' algorithm', ' python', ' modeling']"
Data Scientist - Predictive Analytics/mis,Premium,Bengaluru,"['predictive analytics', ' business analysis', ' data analytics', ' data analysis...', 'predictive analytics', ' business analysis', ' data analytics', ' data analysis...']"
"Data Scientist, Senior",Epsilon,Bengaluru,"['technical skills', ' tools', ' ideas', ' open source', ' computer science...', 'technical skills', ' tools', ' ideas', ' open source', ' computer science...']"
Lead Data Scientist (10-15yrs.),Kogentix Technologies Private Limited,"Bengaluru, Hyderabad","['machine learning', ' hadoop', ' computer vision', ' matlab', ' spark', ' java', ' r', ' sql...', 'machine learning', ' hadoop', ' computer vision', ' matlab', ' spark', ' java', ' r', ' sql...']"
Data Scientist,Yodlee Infotech Private Limited,Bengaluru,"['machine learning', ' data science', ' data mining', ' artificial intelligence...', 'machine learning', ' data science', ' data mining', ' artificial intelligence...']"
Researcher/leader/manager - Data Scientist - Data Mining -  IITs,The Modern Dimension,Bengaluru,"['data mining', ' machine learning', ' r', ' data analysis', ' statistical analysis...', 'data mining', ' machine learning', ' r', ' data analysis', ' statistical analysis...']"
Data Scientist - IAE,Yodlee Infotech Private Limited,Bengaluru,"['machine learning', ' data science', ' data mining', ' artificial intelligence...', 'machine learning', ' data science', ' data mining', ' artificial intelligence...']"
Immediate Vacancy for Data Scientist - Mumbai/bangalore,Object Technology Solutions India Pvt. Ltd,"Bengaluru, Mumbai, Mumbai Suburbs, Navi Mumbai","['data scientist', ' senior data scientist', ' associate data scientist', 'data scientist', ' senior data scientist', ' associate data scientist']"
Data Scientist,MoneyTap,Bengaluru,"['hive', ' hbase', ' nosql', ' pig', ' java', ' cassandra', ' sql', ' r', ' machine learning', ' python', 'hive', ' hbase', ' nosql', ' pig', ' java', ' cassandra', ' sql', ' r', ' machine learning', ' python']"
Data Scientist - NLP,Uniqreate - Startup,Bengaluru,"['natural language processing', ' machine learning', ' pattern recognition', ' python', '...', 'natural language processing', ' machine learning', ' pattern recognition', ' python', '...']"
Data Scientist,ThoughtWorks Technologies (India) Pvt Ltd.,"Pune(Yerwada), Bengaluru(4th Block Koramangala), Chennai","['natural language processing', ' machine learning', ' r', ' predictive modeling', ' data...', 'natural language processing', ' machine learning', ' r', ' predictive modeling', ' data...']"
Data Scientist,Meaww - Startup,Bengaluru,"['machine learning', ' software design', ' data processing', ' data analyst...', 'machine learning', ' software design', ' data processing', ' data analyst...']"
Looking to hire Data Scientist / Lead (NLP / text Mining in ML),Pramata Knowledge Solutions Private Limited,Bengaluru(Adugodi),"['text mining', ' data science', ' nlp', ' python', ' machine learning', 'text mining', ' data science', ' nlp', ' python', ' machine learning']"
Excellent Opportunity for Data Scientist,Rapidflow apps Software Solutions Private Limited,"Bengaluru, Delhi NCR","['deep learning', ' neural networks', ' machine learning', ' r', ' python', ' analytics...', 'deep learning', ' neural networks', ' machine learning', ' r', ' python', ' analytics...']"
Developer Engineer and Data Scientist,Startup - Pin Click,Bengaluru,"['natural language processing', ' data science', ' java', ' python', ' machine learning...', 'natural language processing', ' data science', ' java', ' python', ' machine learning...']"
Looking for Data Scientist,Trans Neuron Technologies Private Limited,Bengaluru,"['data scientist', ' data science', 'data scientist', ' data science']"
Data Scientist,Dunzo - Startup,Bengaluru,"['data science', ' web technologies', ' machine learning', ' matlab', ' problem solving', 'data science', ' web technologies', ' machine learning', ' matlab', ' problem solving']"
Data Scientist - Fintech / Banking Sector,Premium,Bengaluru,"['data scientist', ' analytics', ' r', ' python', ' consulting', ' forecasting...', 'data scientist', ' analytics', ' r', ' python', ' consulting', ' forecasting...']"
Senior/lead Data Scientist - Apache/mapreduce,Premium,Bengaluru,"['java', ' python', ' data science', ' machine learning', ' algorithms', ' spark', ' mapreduce', '...', 'java', ' python', ' data science', ' machine learning', ' algorithms', ' spark', ' mapreduce', '...']"
Data Scientist - Machine Learning Techniques,Premium,Bengaluru,"['mongodb', ' nosql', ' mysql', ' hive', ' data science', ' d3.js', ' sql', ' r', ' machine learning', '...', 'mongodb', ' nosql', ' mysql', ' hive', ' data science', ' d3.js', ' sql', ' r', ' machine learning', '...']"
Lead Data Scientist - Apache/ Spark,Premium,Bengaluru,"['java', ' python', ' data science', ' machine learning', ' algorithms', ' spark', ' mapreduce', '...', 'java', ' python', ' data science', ' machine learning', ' algorithms', ' spark', ' mapreduce', '...']"
Data Scientist - R/ Weka/ SQL/ HIve,Premium,Bengaluru,"['nosql', ' mongodb', ' hive', ' sql', ' data science', ' r', ' data mining', ' data scientist', 'nosql', ' mongodb', ' hive', ' sql', ' data science', ' r', ' data mining', ' data scientist']"
"Requirement for ""data Scientist / Sr Data Scientist"" with an US Co...",Spigot Software Private Limited,Bengaluru,"['machine learning', ' data scientist', ' signal processing', ' sr data scientist', 'machine learning', ' data scientist', ' signal processing', ' sr data scientist']"
Data Scientist,Confidential,Bengaluru,"['data scientist', ' r', ' python', ' rapidminer', ' weka', ' knime', ' analytics', ' optimization...', 'data scientist', ' r', ' python', ' rapidminer', ' weka', ' knime', ' analytics', ' optimization...']"
Data Scientist,Startup - ConfirmTkt.com,Bengaluru,"['natural language processing', ' text mining', ' text analytics', ' machine learning', '...', 'natural language processing', ' text mining', ' text analytics', ' machine learning', '...']"
Data Scientist - KPO,Excellence4u Research Services Pvt. Ltd,Bengaluru,"['data scientist', ' database design', ' data maintenance', ' database security...', 'data scientist', ' database design', ' data maintenance', ' database security...']"
Data Scientist,Yodlee Infotech Private Limited,Bengaluru,"['machine learning', ' business generation', ' data cleansing', ' probability...', 'machine learning', ' business generation', ' data cleansing', ' probability...']"
Data Scientist,Fortraiz- Startup,Bengaluru,"['data scientist', ' data science', ' analytics', ' python', ' r programming...', 'data scientist', ' data science', ' analytics', ' python', ' r programming...']"
Data Scientist,Accenture,Bengaluru,"['python', ' open source', ' service', ' data mining', ' bfsi', ' supply chain...', 'python', ' open source', ' service', ' data mining', ' bfsi', ' supply chain...']"
Data Scientist - Machine Learning,Enterprise Bot - Startup,Bengaluru,"['deep learning', ' machine learning', ' natural language processing', ' nlp...', 'deep learning', ' machine learning', ' natural language processing', ' nlp...']"
Data Scientist - R/ Python/ SQL,ColorTokens Inc.,Bengaluru,"['deep learning', ' natural language processing', ' machine learning...', 'deep learning', ' natural language processing', ' machine learning...']"
Data Scientist,Shaw Academy Education Pvt. Ltd (Academy of Financial Trading),Bengaluru,"['machine learning', ' logistic regression', ' neural network', ' python...', 'machine learning', ' logistic regression', ' neural network', ' python...']"
Principal Data Scientist,Pervazive- Startup,Bengaluru,"['data scientist', ' machine learning', ' data science', ' python', ' perl', ' r', 'data scientist', ' machine learning', ' data science', ' python', ' perl', ' r']"
Director - Data Scientist,Epsilon,Bengaluru,"['tools', ' sas', ' data management', ' open source', ' sql', ' computer science...', 'tools', ' sas', ' data management', ' open source', ' sql', ' computer science...']"
"Software Engineer - Machine Learning, Pyhton/r (data Scientist)",Diligence Netsoft pvt. ltd.,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune","['data science', ' r', ' machine learning', ' python', ' logistic regression...', 'data science', ' r', ' machine learning', ' python', ' logistic regression...']"
Lead Data Scientist,HireHappi,Bengaluru,"['r', ' python', ' modelling', ' modeling', ' visualization', ' dashboards', ' tableau...', 'r', ' python', ' modelling', ' modeling', ' visualization', ' dashboards', ' tableau...']"
Senior Data Scientist,AIG Analytics & Services Private Limited,Bengaluru,"['sql', ' linux', ' shell scripting', ' python', ' sas', ' matlab', ' analytics...', 'sql', ' linux', ' shell scripting', ' python', ' sas', ' matlab', ' analytics...']"
Data Scientist _watson IOT,IBM India Pvt. Limited,Bengaluru,"['python', ' troubleshooting', ' wireless', ' consulting', ' database design', ' healthcare', '...', 'python', ' troubleshooting', ' wireless', ' consulting', ' database design', ' healthcare', '...']"
Trainee - Data Scientist/ USA Australia,MNC,"Mumbai, Bengaluru, Pune","['data scientist', 'data scientist']"
