,Unnamed: 0,City,Job title,Company name,Location,Salary,tech skills,og_salary_period,salary_category,above_med_sal,technical skills
2951,3347,Seattle,"principal data scientist, Global Strategy - Seattle, WA",Starbucks,"Seattle, WA 98134 (Industrial Complex area)",,oracle spss strategy pig machine_learning machine automation java algorithm_development database retail sas data languages python consulting databases modeling algorithm forecasting etl teradata sql tools visualization ruby data_analysis big_data analytics cluster_analysis data_processing regression r,,no category,,spss pig machine_learning java database sas python databases algorithm etl sql visualization ruby
2952,3348,Seattle,Machine Learning Scientist,Apple,"Seattle, WA",,c natural_language_processing artificial_intelligence pig machine_learning mapreduce machine java clustering computer_science statistical communication_skills data large python modeling cpp_lang scala algorithms programming tools spark classification hive big_data machine_learning_algorithms hadoop technology software_engineering,,no category,,natural_language_processing artificial_intelligence pig machine_learning mapreduce java communication_skills python cpp_lang scala algorithms spark hive hadoop
2953,3349,Seattle,Data Scientist - Concur,SAP,"Bellevue, WA",,data_scientist machine_learning machine operations cloud data ideas warehouse design python mathematics data_visualization tensorflow algorithms website research sql tools classification visualization machine_learning_algorithms technology r_lang,,no category,,machine_learning cloud python mathematics data_visualization tensorflow algorithms sql visualization r_lang
2954,3350,Seattle,Research Analyst,Parker Remick,"Seattle, WA 98103 (Green Lake - Wallingford area)",,strategy insurance health research tools technology,,no category,,
2955,3351,Seattle,Applied Scientist,Amazon.com,"Seattle, WA",,c machine_learning machine java computer_science data large data_structures design information_retrieval languages python mathematics statistics go cpp_lang advertising algorithm research data_processing,,no category,,machine_learning java python mathematics statistics go cpp_lang algorithm
2956,3352,Seattle,Business Intelligence Engineer,Amazon.com,"Seattle, WA",,machine_learning machine automation operations cloud software_development computer_science statistical communication_skills data monitoring fraud design python mathematics statistics modeling scripting statistical_analysis verbal_communication dashboards problem_solving aws sql tools analytics business_intelligence r_lang,,no category,,machine_learning cloud communication_skills python mathematics statistics scripting aws sql r_lang
2957,3353,Seattle,Research Analyst,EMC Research,"Seattle, WA 98104 (First Hill area)",,c spss machine_learning machine predictive analytical predictive_modeling clustering statistical data large data_structures design python data_management databases market_research modeling statistical_analysis verbal_communication service research tools classification excel r_lang,,no category,,spss machine_learning python databases excel r_lang
2958,3354,Seattle,MTS - Data Scientist/Machine Learning,Nutanix,"Seattle, WA",,data_scientist artificial_intelligence pig machine_learning data_mining machine operations_research operations analytical mathematical matlab computer_science statistical data large python statistics modeling neural_networks algorithms statistical_modeling research sql linux deep_learning data_science r_lang,,no category,,artificial_intelligence pig machine_learning data_mining matlab python statistics neural_networks algorithms sql linux deep_learning r_lang
2959,3355,Seattle,Research Scientist,Amazon.com,"Seattle, WA",,data_scientist machine_learning machine automation java communication_skills data large sales business_reporting design languages prototype python mathematics modeling scripting data_visualization scala verbal_communication tableau sql tools spark visualization perl ruby data_analysis big_data data_processing data_science r_lang,,no category,,machine_learning java communication_skills python mathematics scripting data_visualization scala tableau sql spark visualization perl ruby r_lang
2960,3356,Seattle,SAP Concur iXp Intern - Data Scientist,SAP,"Bellevue, WA",,data_scientist machine_learning machine operations cloud data large warehouse design python statistics algorithms service website aws data_analysis data_science pandas,,no category,,machine_learning cloud python statistics algorithms aws pandas
2961,3357,Seattle,Data Scientist Internship - Natural Language Processing,Cambia Health,"Seattle, WA",,c natural_language_processing hmm data_scientist pharmacy pig machine_learning mapreduce machine cleaning java operations lucene nlp rest analytical svm cloud clustering retail software_development healthcare computer_science statistical communication_skills data large written_communication testing quantitative_analysis solr insurance css design information_retrieval object_oriented_programming python databases unix statistics modeling health cpp_lang algorithm tensorflow data_analytics scala algorithms forecasting statistical_modeling programming problem_solving aws sql tools spark d3js classification nosql access visualization hive html data_analysis big_data linux analytics hadoop technology deep_learning information_technology,,no category,,natural_language_processing pig machine_learning mapreduce java nlp rest cloud communication_skills written_communication python databases unix statistics cpp_lang algorithm tensorflow scala algorithms aws sql spark nosql visualization hive linux hadoop deep_learning
2962,3358,Seattle,Principal Data Scientist - Customer Products,Redfin,"Seattle, WA",,machine_learning machine operations cloud computer_science data ideas coding design languages statistics algorithms service aws access marketing machine_learning_algorithms roi technology data_science,,no category,,machine_learning cloud statistics algorithms aws marketing
2963,3359,Seattle,Data Scientist,eBay Inc.,"Bellevue, WA",,front_end computer_science data design programming website big_data technology,,no category,,
2964,3360,Seattle,Quantitative User Researcher,Microsoft,"Redmond, WA 98052",,machine_learning machine predictive statistical sas data large quantitative_research design advanced_excel research tools access data_analysis excel user_experience technology r_lang,,no category,,machine_learning sas excel r_lang
2965,3361,Seattle,"Senior Scientist, Gene Editing and Discovery Research",Juno Therapeutics,"Seattle, WA 98109 (Westlake area)",,strategy analytical data evaluation research tools technology,,no category,,
2966,3362,Seattle,Senior Data Scientist,zulily,"Seattle, WA 98121 (Belltown area)",,open_source data_scientist machine_learning machine statistical_programming operations acquisition analytical cloud software_development shell_scripting statistical data large design python statistics modeling scripting algorithm algorithms programming data_integration research sql visualization marketing data_analysis linux analytics software_engineering data_science r_lang,,no category,,machine_learning cloud shell_scripting python statistics scripting algorithm algorithms sql visualization marketing linux r_lang
2967,3363,Seattle,Data Scientist - AI and ML,Pivotal Commware,"Kirkland, WA",,c_lang data_scientist artificial_intelligence machine_learning machine mathematical matlab computer_science statistical data python mathematics modeling neural_networks cpp_lang algorithms research tools technology data_science,,no category,,c_lang artificial_intelligence machine_learning matlab python mathematics neural_networks cpp_lang algorithms
2968,3364,Seattle,Research Scientist in Data Systems,Tableau,"Seattle, WA",,rest data design data_management databases modeling service data_modeling tableau research nosql technology business_intelligence,,no category,,rest databases tableau nosql
2969,3365,Seattle,Senior - Data Scientist,Tech Mahindra,"Redmond, WA",,designing mobile_technology data_scientist machine_learning data_mining machine subject_matter_expert computer_science statistical data large sales business_analyst design modeling data_analytics research marketing analytics technology,,no category,,machine_learning data_mining marketing
2970,3366,Seattle,Learning Scientist (engineering role),Microsoft,"Redmond, WA 98052",,strategy subject_matter_expert data large data_collection design subject_matter_expertise technology,,no category,,
2971,3367,Seattle,Sr. Data Scientist,Expedia,"Bellevue, WA 98004 (Downtown area)",,open_source json data_scientist artificial_intelligence machine_learning data_mining mapreduce machine automation random_forests cleaning java operations database nlp analytical cloud clustering software_development agile decision_trees computer_science statistical xml data ideas coding distributed_computing python mathematics statistics time_series modeling neural_networks azure scala algorithms pattern_recognition data_modeling tableau research relational_database aws sql spark visualization big_data hadoop data_processing technology deep_learning software_engineering data_science r_lang,,no category,,artificial_intelligence machine_learning data_mining mapreduce random_forests java database nlp cloud agile decision_trees python mathematics statistics neural_networks scala algorithms tableau aws sql spark visualization hadoop deep_learning r_lang
2972,3369,Seattle,DATA ENGINEER,Amazon.com,"Seattle, WA",,oracle product_management machine_learning data_mining mapreduce machine automation documentation operations analytical clustering computer_science statistical communication_skills data large written_communication data_warehousing warehouse bi design python mathematics statistics modeling advanced_analytics scripting algorithms statistical_analysis service finance data_modeling etl tableau aws sql tools access perl validation ruby hive big_data excel linux analytics hadoop sql_server technology business_intelligence data_science r_lang,,no category,,machine_learning data_mining mapreduce communication_skills written_communication python mathematics statistics scripting algorithms etl tableau aws sql perl ruby hive excel linux hadoop r_lang
