Job_Name,Organization,Location,Skillset,Skillset_list
Data Scientist,Confidential,Bengaluru,"datascientist,r,python,rapidminer,weka,knime,analytics,optimization","['datascientist', 'r', 'python', 'rapidminer', 'weka', 'knime', 'analytics', 'optimization']"
Developer Engineer and Data Scientist,Startup - Pin Click,Bengaluru,"naturallanguageprocessing,datascience,java,python,machinelearning","['naturallanguageprocessing', 'datascience', 'java', 'python', 'machinelearning']"
Data Scientist,Flipkart Internet Private Limited,Bengaluru,"deeplearning,algorithms,datascience,imageprocessing,datascientist","['deeplearning', 'algorithms', 'datascience', 'imageprocessing', 'datascientist']"
Data Scientist,Dunzo - Startup,Bengaluru,"datascience,webtechnologies,machinelearning,matlab,problemsolving","['datascience', 'webtechnologies', 'machinelearning', 'matlab', 'problemsolving']"
Principal Data Scientist,Flipkart Internet Private Limited,Bengaluru,"datascientist,datascience,ml,clustering,matrixfactorization","['datascientist', 'datascience', 'ml', 'clustering', 'matrixfactorization']"
Data Scientist,Startup - DataXylo,Bengaluru,"arima,clusteranalysis,logisticregression,dataanalysis,r,sql","['arima', 'clusteranalysis', 'logisticregression', 'dataanalysis', 'r', 'sql']"
Data Scientist - R/ Python/ SQL,Startup - DataXylo,Bengaluru,"arima,clusteranalysis,logisticregression,dataanalysis,r,sql","['arima', 'clusteranalysis', 'logisticregression', 'dataanalysis', 'r', 'sql']"
Senior Data Scientist,Terra Blue Exploration Technologies Pvt. Ltd.,Bengaluru(Electronics City Phase 1),"datascience,modeldevelopment,algorithms,modelvalidation","['datascience', 'modeldevelopment', 'algorithms', 'modelvalidation']"
Manager - Data Scientist,Fidelity Business Service India Private Limited,Bengaluru,"datascience,analytics,design,technicalspecifications","['datascience', 'analytics', 'design', 'technicalspecifications']"
Senior Manager - Data Scientist,Fidelity Business Service India Private Limited,Bengaluru,"datascience,analytics,technicalspecifications,technicaldocumentation,","['datascience', 'analytics', 'technicalspecifications', 'technicaldocumentation', '']"
Python Data Scientist - Analyst/ Sr Analyst,OST Placement Search Private Limited,"Delhi NCR, Bengaluru, Mumbai",analyticaltechniques,['analyticaltechniques']
Opening for DATA Scientist Role for Leading MNC in Bangalore Location,Switchover Solutions,Bengaluru,"deeplearning,machinelearning,r,python,sql,spark,timeseries","['deeplearning', 'machinelearning', 'r', 'python', 'sql', 'spark', 'timeseries']"
Data Scientist - Sas/sql/spss,Talpro,"Delhi NCR, Bengaluru","sassql,spss,c,statisticalanalysis,statistics,analytics,frontend","['sassql', 'spss', 'c', 'statisticalanalysis', 'statistics', 'analytics', 'frontend']"
Data Scientist - Sas/sql/spss,TalPro,"Delhi NCR, Bengaluru","sassql,spss,c,statisticalanalysis,econometrics,statistics","['sassql', 'spss', 'c', 'statisticalanalysis', 'econometrics', 'statistics']"
Data Scientist - Fintech / Banking Sector,Premium,Bengaluru,"datascientist,analytics,r,python,consulting,forecasting","['datascientist', 'analytics', 'r', 'python', 'consulting', 'forecasting']"
Director/ Chief Data Scientist - NLP - KPO,Premium,"Bengaluru, Hyderabad","informationretrieval,neuralnetworks,nlp,datamining,machinelearning,","['informationretrieval', 'neuralnetworks', 'nlp', 'datamining', 'machinelearning', '']"
Principal Data Scientist,Cynosure Corporate Solutions,Bengaluru,"datascientist,machinelearning,logisticregression,deeplearning","['datascientist', 'machinelearning', 'logisticregression', 'deeplearning']"
Data Scientist - Python/sql,Catalyst,Bengaluru,"sql,algorithms,python","['sql', 'algorithms', 'python']"
Data Scientist - Machine Learning Techniques,Premium,Bengaluru,"mongodb,nosql,mysql,hive,datascience,djs,sql,r,machinelearning,","['mongodb', 'nosql', 'mysql', 'hive', 'datascience', 'djs', 'sql', 'r', 'machinelearning', '']"
Lead Data Scientist - Apache/ Spark,Premium,Bengaluru,"java,python,datascience,machinelearning,algorithms,spark,mapreduce,","['java', 'python', 'datascience', 'machinelearning', 'algorithms', 'spark', 'mapreduce', '']"
Data Scientist - SAS / SQL / SPSS,TalPro,"Bengaluru, Delhi NCR","sassql,spss,excelpowerpoint,statisticalanalysis,econometrics","['sassql', 'spss', 'excelpowerpoint', 'statisticalanalysis', 'econometrics']"
Data Scientist - R/ Weka/ SQL/ HIve,Premium,Bengaluru,"nosql,mongodb,hive,sql,datascience,r,datamining,datascientist","['nosql', 'mongodb', 'hive', 'sql', 'datascience', 'r', 'datamining', 'datascientist']"
"Requirement for ""data Scientist / Sr Data Scientist"" with an US Co...",Spigot Software Private Limited,Bengaluru,"machinelearning,datascientist,signalprocessing,srdatascientist","['machinelearning', 'datascientist', 'signalprocessing', 'srdatascientist']"
Data Scientist - Predictive Analytics/mis,Premium,Bengaluru,"predictiveanalytics,businessanalysis,dataanalytics,dataanalysis","['predictiveanalytics', 'businessanalysis', 'dataanalytics', 'dataanalysis']"
"Data Scientist, Senior",Epsilon,Bengaluru,"technicalskills,tools,ideas,opensource,computerscience","['technicalskills', 'tools', 'ideas', 'opensource', 'computerscience']"
Lead Data Scientist (10-15yrs.),Kogentix Technologies Private Limited,"Bengaluru, Hyderabad","machinelearning,hadoop,computervision,matlab,spark,java,r,sql","['machinelearning', 'hadoop', 'computervision', 'matlab', 'spark', 'java', 'r', 'sql']"
Data Scientist,Yodlee Infotech Private Limited,Bengaluru,"machinelearning,datascience,datamining,artificialintelligence","['machinelearning', 'datascience', 'datamining', 'artificialintelligence']"
Researcher/leader/manager - Data Scientist - Data Mining -  IITs,The Modern Dimension,Bengaluru,"datamining,machinelearning,r,dataanalysis,statisticalanalysis","['datamining', 'machinelearning', 'r', 'dataanalysis', 'statisticalanalysis']"
Data Scientist - IAE,Yodlee Infotech Private Limited,Bengaluru,"machinelearning,datascience,datamining,artificialintelligence","['machinelearning', 'datascience', 'datamining', 'artificialintelligence']"
Data Scientist,Accenture,Bengaluru,"python,opensource,service,datamining,bfsi,supplychain","['python', 'opensource', 'service', 'datamining', 'bfsi', 'supplychain']"
Data Scientist - R/ Python/ SQL,ColorTokens Inc.,Bengaluru,"deeplearning,naturallanguageprocessing,machinelearning","['deeplearning', 'naturallanguageprocessing', 'machinelearning']"
Immediate Vacancy for Data Scientist - Mumbai/bangalore,Object Technology Solutions India Pvt. Ltd,"Bengaluru, Mumbai, Mumbai Suburbs, Navi Mumbai","datascientist,seniordatascientist,associatedatascientist","['datascientist', 'seniordatascientist', 'associatedatascientist']"
Looking for Data Scientist,Trans Neuron Technologies Private Limited,Bengaluru,"datascientist,datascience","['datascientist', 'datascience']"
Data Scientist,MoneyTap,Bengaluru,"hive,hbase,nosql,pig,java,cassandra,sql,r,machinelearning,python","['hive', 'hbase', 'nosql', 'pig', 'java', 'cassandra', 'sql', 'r', 'machinelearning', 'python']"
"Data Scientist, Lead",Conversant Software Development And Campaign  Management Services LLP,Bengaluru,"datascientist,datascientistlead,python,r,qaqc,projectmanagement","['datascientist', 'datascientistlead', 'python', 'r', 'qaqc', 'projectmanagement']"
Data Scientist/developer - IT,Premium,Bengaluru,"c,java,algorithms,objectorientedprogramming,sqlqueries","['c', 'java', 'algorithms', 'objectorientedprogramming', 'sqlqueries']"
Data Scientist - Sas/sql/spss,Talpro,"Delhi NCR, Bengaluru","sassql,spss,c,excelpowerpoint,statisticalanalysis,econometrics","['sassql', 'spss', 'c', 'excelpowerpoint', 'statisticalanalysis', 'econometrics']"
Senior/lead Data Scientist - Apache/mapreduce,Premium,Bengaluru,"java,python,datascience,machinelearning,algorithms,spark,mapreduce,","['java', 'python', 'datascience', 'machinelearning', 'algorithms', 'spark', 'mapreduce', '']"
Data Scientist,Startup - ConfirmTkt.com,Bengaluru,"naturallanguageprocessing,textmining,textanalytics,machinelearning,","['naturallanguageprocessing', 'textmining', 'textanalytics', 'machinelearning', '']"
Data Scientist - KPO,Excellence4u Research Services Pvt. Ltd,Bengaluru,"datascientist,databasedesign,datamaintenance,databasesecurity","['datascientist', 'databasedesign', 'datamaintenance', 'databasesecurity']"
Data Scientist,Yodlee Infotech Private Limited,Bengaluru,"machinelearning,businessgeneration,datacleansing,probability","['machinelearning', 'businessgeneration', 'datacleansing', 'probability']"
Data Scientist,Fortraiz- Startup,Bengaluru,"datascientist,datascience,analytics,python,rprogramming","['datascientist', 'datascience', 'analytics', 'python', 'rprogramming']"
Data Scientist - Machine Learning,Enterprise Bot - Startup,Bengaluru,"deeplearning,machinelearning,naturallanguageprocessing,nlp","['deeplearning', 'machinelearning', 'naturallanguageprocessing', 'nlp']"
Data Scientist,Shaw Academy Education Pvt. Ltd (Academy of Financial Trading),Bengaluru,"machinelearning,logisticregression,neuralnetwork,python","['machinelearning', 'logisticregression', 'neuralnetwork', 'python']"
Principal Data Scientist,Pervazive- Startup,Bengaluru,"datascientist,machinelearning,datascience,python,perl,r","['datascientist', 'machinelearning', 'datascience', 'python', 'perl', 'r']"
Data Scientist - NLP,Uniqreate - Startup,Bengaluru,"naturallanguageprocessing,machinelearning,patternrecognition,python,","['naturallanguageprocessing', 'machinelearning', 'patternrecognition', 'python', '']"
Data Architect/data Scientist,HCL Technologies Ltd,Bengaluru,"olap,outbound,oltp,nosql,sqlserver,dataarchitecture,etl","['olap', 'outbound', 'oltp', 'nosql', 'sqlserver', 'dataarchitecture', 'etl']"
"Software Engineer - Machine Learning, Pyhton/r (data Scientist)",Diligence Netsoft pvt. ltd.,"Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune","datascience,r,machinelearning,python,logisticregression","['datascience', 'r', 'machinelearning', 'python', 'logisticregression']"
Data Scientist,Globallogic India Ltd,Bengaluru,"sql,tableau,datascientist,r,machinelearning,largescalecomputing","['sql', 'tableau', 'datascientist', 'r', 'machinelearning', 'largescalecomputing']"
Lead Data Scientist,HireHappi,Bengaluru,"r,python,modelling,modeling,visualization,dashboards,tableau","['r', 'python', 'modelling', 'modeling', 'visualization', 'dashboards', 'tableau']"
Data Scientist _watson IOT,IBM India Pvt. Limited,Bengaluru,"python,troubleshooting,wireless,consulting,databasedesign,healthcare,","['python', 'troubleshooting', 'wireless', 'consulting', 'databasedesign', 'healthcare', '']"
"Data Scientist- Machine Learning, Computer Vision, Predictive Modeling",Eka Software Solutions Private Limited,Bengaluru,"nlp,datamining,machinelearning,analytics,hadoop,statistics","['nlp', 'datamining', 'machinelearning', 'analytics', 'hadoop', 'statistics']"
Data Scientist,Brillio Technologies Pvt. Ltd,Bengaluru,"analytics,dataanalysis,python,visualization,algorithms,textmining","['analytics', 'dataanalysis', 'python', 'visualization', 'algorithms', 'textmining']"
Trainee - Data Scientist/ USA Australia,MNC,"Mumbai, Bengaluru, Pune",datascientist,['datascientist']
Data Scientist / Data Analytics with Machine Learning,Collabera Technologies Private Limited,Bengaluru,"sql,r,dataanalytics,machinelearning,major,hadoop,tableau,excel","['sql', 'r', 'dataanalytics', 'machinelearning', 'major', 'hadoop', 'tableau', 'excel']"
Data Scientist -R Programmer,Optidesk Solutions Private Limited,Bengaluru,"datascience,artificialintelligence,machinelearning,r,sqlserver","['datascience', 'artificialintelligence', 'machinelearning', 'r', 'sqlserver']"
Senior Data Scientist,Verint Systems India Pvt Ltd,Bengaluru,"service,projectmanagement,analytics,sql,sas,coding,datamining,data","['service', 'projectmanagement', 'analytics', 'sql', 'sas', 'coding', 'datamining', 'data']"
