,Links,job description
50,https://www.naukri.com/job-listings-Area-Business-Manager-gennext-western-Mumbai-Abbott-India-Limited-Mumbai-4-to-9-years-140318002918?src=jobsearchDesk&sid=15210486658922&xp=1&px=1,"['Sales', 'Target Achievement', 'Business Management', 'People Management', 'Effective Communication']"
51,https://www.naukri.com/job-listings-Senior-Manager-associate-Director-Business-Development-Hansa-Cequity-Mumbai-6-to-10-years-120318901284?src=jobsearchDesk&sid=15210486658922&xp=2&px=1,"['Marketing Automation', 'Business Development', 'Strategy Consulting', 'Digital Marketing', 'Business Analysis', 'Campaign Management', 'Presales', 'New Client Acquisition', 'Sales Strategy', 'Business Planning']"
52,https://www.naukri.com/job-listings-Territory-Business-Manager-LAVUE-PHARMACEUTICALS-PVT-LTD-Mumbai-1-to-6-years-140318005129?src=jobsearchDesk&sid=15210486658922&xp=3&px=1,"['Business Management', 'Target Achievement', 'Primary Sales', 'Secondary Sales', 'Communication Skills', 'Product Launch']"
53,https://www.naukri.com/job-listings-Business-Manager-Medical-Devices-Bengaluru-Mumbai-4-to-8-years-140318900394?src=jobsearchDesk&sid=15210486658922&xp=4&px=1,"['sales', 'distribution', 'business management', 'medical devices', 'Sales Management', 'Sales Manager']"
54,https://www.naukri.com/job-listings-State-Business-Manager-Diagnostic-Industry-Delhi-NCR-Mumbai-Bengaluru-Hyderabad-Kolkata-4-to-9-years-140318900984?src=jobsearchDesk&sid=15210486658922&xp=5&px=1,"['biochemistry', 'hematology', 'immunology', 'secondary sales', 'post sales', 'business management', 'Selling', 'sales', 'Sales Management']"
55,https://www.naukri.com/job-listings-Sr-Business-Development-Manager-Viztar-International-Pvt-Ltd-Navi-Mumbai-8-to-13-years-140318004375?src=jobsearchDesk&sid=15210486658922&xp=6&px=1,"['business development management', 'sales planning', 'marketing', 'bdm', 'lead generation', 'prospecting', 'client servicing', 'crm', 'profitability']"
56,https://www.naukri.com/job-listings-Business-Development-Manager-Pan-Gulf-Technologies-Pvt-Ltd-Mumbai-5-to-10-years-140318007490?src=jobsearchDesk&sid=15210486658922&xp=7&px=1,['Business Development Management']
57,https://www.naukri.com/job-listings-Senior-Manager-Business-Analyst-IIM-MDI-ISB-Diebold-Nixdorf-India-Private-Limited-Mumbai-10-to-13-years-140318004597?src=jobsearchDesk&sid=15210486658922&xp=8&px=1,"['Business Finance', 'Financial Analysis', 'Industry Research', 'Business Analysis', 'Valuation Analysis', 'Forecasting', 'IIM', 'Project Management', 'Business Intelligence', 'Strategy']"
58,https://www.naukri.com/job-listings-Business-Development-Manager-No-Field-Work-Impact-Guru-Andheri-Impact-Guru-Foundation-Mumbai-0-to-4-years-140318003060?src=jobsearchDesk&sid=15210486658922&xp=9&px=1,"['business development management', 'startup', 'fund raising', 'sales', 'inside sales', 'telecommunication', 'telecalling']"
59,https://www.naukri.com/job-listings-Business-Manager-Retail-Chain-Mumbai-Talent-Leads-HR-Solutions-Pvt-Ltd-Mumbai-7-to-12-years-140318007907?src=jobsearchDesk&sid=15210486658922&xp=10&px=1,"['Retail', 'Store Management', 'Store Operations']"
60,https://www.naukri.com/job-listings-Business-Manager-digital-Economic-Political-Weekly-Mumbai-3-to-5-years-130318900642?src=jobsearchDesk&sid=15210486658922&xp=11&px=1,"['sales', 'advertising', 'business management', 'business strategy', 'campaigns', 'product strategy', 'business modeling', 'web technologies', 'product management', 'business development', 'social media']"
61,https://www.naukri.com/job-listings-Assistant-Business-Manager-IMMUNOSHOP-INDIA-PVT-LTD-Delhi-NCR-Mumbai-Bengaluru-Chennai-Kolkata-Agra-Chandigarh-2-to-7-years-130318008783?src=jobsearchDesk&sid=15210486658922&xp=12&px=1,"['sales', 'biotechnology', 'microbiology', 'biochemistry', 'channel partners', 'channel partner management', 'business management', 'customer relationship', 'relationship building', 'cold calling', 'immunology', 'elisa']"
62,https://www.naukri.com/job-listings-Area-Business-Manager-Muthoot-Finance-Ltd-Kolkata-Delhi-Mumbai-5-to-10-years-130318001826?src=jobsearchDesk&sid=15210486658922&xp=13&px=1,"['Area Sales', 'Business Development', 'Banking', 'Retail Sales', 'Team Handling', 'Wealth Management', 'Business Management', 'Financial Services', 'Retail Business', 'Communication Skills']"
63,https://www.naukri.com/job-listings-Opening-for-Manager-Business-Development-Position-in-Navi-Mumbai-Careernet-Technologies-Pvt-Ltd-Navi-Mumbai-8-to-12-years-140318004232?src=jobsearchDesk&sid=15210486658922&xp=14&px=1,"['Business Development', 'Client Acquisition', 'Client Management', 'B2B']"
64,https://www.naukri.com/job-listings-BDM-Adhesivthe-Business-Development-Manager-is-Responsible-for-Estab-Hector-and-Streak-Consulting-Pvt-Ltd-Mumbai-7-to-12-years-140318001047?src=jobsearchDesk&sid=15210486658922&xp=15&px=1,[]
65,https://www.naukri.com/job-listings-Assistant-Manager-Business-Development-RGF-SELECT-INDIA-PRIVATE-LIMITED-Mumbai-3-to-8-years-140318000286?src=jobsearchDesk&sid=15210486658922&xp=16&px=1,"['Business Development Management', 'Product Promotion', 'Technical Support', 'Problem Solving', 'Chemical', 'Dyes', 'textile chemical', 'pigments', 'resins', 'Paint']"
